Index,Symbol
77,SWBBLP
78,GUFLPO
79,NCCBPO
80,PROFL
81,BFCPO
82,GBIME
83,CZBIL
84,UFLPO
85,PROFLP
86,PCBL
87,LBBL
88,SRBL
89,AHPC
90,SBBLPO
91,MDB
92,NBBPO
93,ALICL
94,NMBPO
95,PLIC
96,NLBBL
97,ADBL
98,ICFCPO
99,MLBL
100,SLICL
101,GBBL
102,JBBL
103,KRBL
104,GLICL
105,SBLPO
106,CORBL
107,SIFCPO
108,KSBBL
109,NIBPO
110,MPFL
111,SADBL
112,SHINE
113,MNBBL
114,FMDBL
115,CZBILP
116,SMFDB
117,KADBL
118,GBIMEP
119,MFIL
120,NBL
121,CBL
122,PCBLP
123,SLBBL
124,NLG
125,SINDU
126,MEGA
127,HBLPO
128,SKBBL
129,RMDC
