Index,Symbol
1,NABIL
2,NIB
3,SCB
4,HBL
5,SBI
6,NBB
7,EBL
8,BOKL
9,NICA
10,MBL
11,LBL
12,KBL
13,NCCB
14,SBL
15,SHL
16,TRH
17,OHL
18,NHPC
19,BPCL
20,CHCL
21,STC
22,BBC
23,NUBL
24,CBBL
25,DDBL
26,SANIMA
27,NABBC
28,NICL
29,RBCL
30,NLICL
31,HGI
32,UIC
33,EIC
34,PIC
35,NIL
36,PRIN
37,SIC
38,IGI
39,NLIC
40,LICN
41,PICL
42,LGIL
43,SICL
44,NFS
45,NLO
46,GUFL
47,CIT
48,BNT
49,UNL
50,BFC
51,SRS
52,GFCL
53,HDL
54,PFL
55,NMB
56,UFL
57,SIFC
58,CFCL
59,JFL
60,PRVU
61,SFCL
62,GMFIL
63,SWBBL
64,ICFC
65,EDBL
66,EBLCP
67,SIL
68,MBLPO
69,NABILP
70,KBLPO
71,LBLPO
72,BOKLPO
73,SFCLP
74,NTC
75,NICAP
76,DBBL
77,SWBBLP
78,GUFLPO
79,NCCBPO
80,PROFL
81,BFCPO
82,GBIME
83,CZBIL
84,UFLPO
85,PROFLP
86,PCBL
87,LBBL
88,SRBL
89,AHPC
90,SBBLPO
91,MDB
92,NBBPO
93,ALICL
94,NMBPO
95,PLIC
96,NLBBL
97,ADBL
98,ICFCPO
99,MLBL
100,SLICL
101,GBBL
102,JBBL
103,KRBL
104,GLICL
105,SBLPO
106,CORBL
107,SIFCPO
108,KSBBL
109,NIBPO
110,MPFL
111,SADBL
112,SHINE
113,MNBBL
114,FMDBL
115,CZBILP
116,SMFDB
117,KADBL
118,GBIMEP
119,MFIL
120,NBL
121,CBL
122,PCBLP
123,SLBBL
124,NLG
125,SINDU
126,MEGA
127,HBLPO
128,SKBBL
129,RMDC
130,JBBLPO
131,SLICLP
132,NLICLP
133,GBLBS
134,RLFL
135,NLICP
136,SHPC
137,SNLB
138,KMCDB
139,ALICLP
140,MLBBL
141,CCBL
142,SICLPO
143,MDBPO
144,RHPC
145,EDBLPO
146,NILPO
147,LLBS
148,MLBLPO
149,GBBLPO
150,LBBLPO
151,SILPO
152,PRVUPO
153,RBCLPO
154,IGIPO
155,NIBSF1
156,MNBBLP
157,PICLPO
158,RLFLPO
159,SINDUP
160,CBLPO
161,CCBLPO
162,MEGAPO
163,RMDCPO
164,SHINEP
165,LVF1
166,KSBBLP
167,MMFDB
168,BARUN
169,VLBS
170,NICLPO
171,MSMBS
172,CLBSL
173,KLBSL
174,JSLBB
175,API
176,CBBLPO
177,PLICPO
178,EICPO
179,LGILPO
180,NMBMF
181,GILB
182,WOMI
183,SADBLP
184,MMFDBP
185,GBLBSP
186,PICPO
187,VLBSPO
188,WOMIPO
189,SLBBLP
190,FMDBLP
191,UICPO
192,MFILPO
193,KRBLPO
194,GIMES1
195,MERO
196,HIDCL
197,NGPL
198,GRDBL
199,GRDBLP
200,NMFBS
201,RSDC
202,RSDCP
203,SLBS
204,KKHC
205,NMBHF1
206,NEF
207,DHPL
208,NIBLPF
209,AKPL
210,FOWAD
211,SPDL
212,UMHL
213,SMATA
214,SDESI
215,LEMF
216,CHL
217,HPPL
218,MSLB
219,NHDL
220,SEF
221,SMB
222,SAEF
223,USLB
224,RADHI
225,NICGF
226,CMF1
227,NSEWA
228,RRHP
229,NADEP
230,PMHPL
231,KPCL
232,AKJCL
233,JOSHI
234,ACLBSL
235,UPPER
236,SLBSL
237,GHL
238,ALBSL
239,SHIVM
240,UPCL
241,MHNL
242,SPARS
243,PPCL
244,GMFBS
245,HURJA
246,GLBSL
247,SAND2085
248,SMFBS
249,UNHPL
250,ILBS
251,SRD80
252,NBF2
253,GBD80/81
254,RHPL
255,SJCL
256,SABSL
257,AKBSLP
258,NIBD2082
259,GGBSL
260,TMDBL
261,TMDBLP
262,SIGS2
263,SAPDBL
264,SAPDBLP
265,CMF2
266,NICBF
267,NMB50
268,NICD83/84
269,NICAD8283
270,SBLD2082
271,HBLD83
272,SFMF
273,SRBLD83
274,HDHPC
275,NRIC
276,KBLD86
277,NICLBSL
278,SBIBD86
279,AIL
280,NICAD8182
281,SDLBSL
282,NRN
283,RLI
284,LUK
285,LEC
286,PBLD84
287,GIC
288,SSHL
289,SGI
290,SLBSP
291,MEN
292,UMRH
293,PLI
